standing,time,count
B00,10:30,2
B00,12:15,1
B00,12:45,1
B00,14:15,1
B00,15:00,3
B00,15:15,1
B00,16:00,2
B01,09:45,3
B01,10:00,1
B01,11:15,2
B01,11:45,2
B01,12:00,3
B01,12:15,1
B01,12:30,8
B01,13:00,1
B01,14:15,2
B01,14:45,1
B01,15:15,3
B01,15:30,1
B01,15:45,1
B01,16:00,1
B01,16:30,1
B01,16:45,1
B01,17:15,2
B01,17:30,4
B01,18:00,1
B01,18:15,1
B01,19:15,1
B01,19:30,2
B02,09:30,3
B02,09:45,15
B02,10:00,5
B02,10:15,9
B02,10:30,2
B02,10:45,4
B02,11:00,2
B02,11:15,2
B02,11:30,2
B02,11:45,4
B02,12:00,5
B02,12:15,16
B02,12:30,17
B02,12:45,21
B02,13:00,16
B02,13:15,4
B02,14:00,8
B02,14:15,14
B02,14:30,11
B02,14:45,4
B02,15:00,10
B02,15:15,26
B02,15:30,38
B02,15:45,9
B02,16:00,10
B02,16:15,3
B02,16:30,5
B02,16:45,9
B02,17:00,6
B02,17:15,11
B02,17:30,8
B02,17:45,18
B02,18:00,9
B02,18:15,7
B02,18:30,5
B02,18:45,2
B02,19:00,2
B02,19:15,1
B02,19:45,1
B03,09:30,4
B03,09:45,4
B03,10:00,16
B03,10:15,2
B03,10:30,10
B03,10:45,8
B03,11:00,9
B03,11:15,8
B03,11:30,8
B03,11:45,1
B03,12:00,13
B03,12:15,37
B03,12:30,21
B03,12:45,15
B03,13:00,26
B03,13:15,7
B03,14:00,2
B03,14:15,28
B03,14:30,12
B03,14:45,8
B03,15:00,8
B03,15:15,26
B03,15:30,23
B03,15:45,3
B03,16:00,13
B03,16:15,7
B03,16:30,9
B03,16:45,8
B03,17:00,9
B03,17:15,7
B03,17:30,18
B03,17:45,8
B03,18:00,13
B03,18:15,12
B03,18:30,3
B03,18:45,1
B03,19:15,2
B03,19:30,1
B04,09:30,8
B04,09:45,8
B04,10:00,39
B04,10:15,16
B04,10:30,9
B04,10:45,8
B04,11:00,10
B04,11:15,24
B04,11:30,13
B04,11:45,11
B04,12:00,28
B04,12:15,66
B04,12:30,29
B04,12:45,32
B04,13:00,34
B04,13:15,14
B04,14:00,10
B04,14:15,29
B04,14:30,13
B04,14:45,17
B04,15:00,16
B04,15:15,55
B04,15:30,36
B04,15:45,12
B04,16:00,9
B04,16:15,35
B04,16:30,22
B04,16:45,4
B04,17:00,20
B04,17:15,23
B04,17:30,31
B04,17:45,16
B04,18:00,11
B04,18:15,25
B04,18:30,11
B04,18:45,2
B04,19:00,2
B04,19:15,2
B04,19:30,2
B04,19:45,4
B05,09:30,3
B05,09:45,3
B05,10:00,44
B05,10:15,22
B05,10:30,8
B05,10:45,10
B05,11:00,11
B05,11:15,11
B05,11:30,9
B05,11:45,11
B05,12:00,33
B05,12:15,35
B05,12:30,31
B05,12:45,36
B05,13:00,26
B05,13:15,29
B05,14:00,21
B05,14:15,47
B05,14:30,26
B05,14:45,19
B05,15:00,22
B05,15:15,63
B05,15:30,27
B05,15:45,11
B05,16:00,2
B05,16:15,19
B05,16:30,24
B05,16:45,12
B05,17:00,5
B05,17:15,22
B05,17:30,33
B05,17:45,19
B05,18:00,24
B05,18:15,21
B05,18:30,9
B05,18:45,3
B05,19:00,2
B05,19:15,1
B97,11:45,1
B99,10:45,1
B99,12:15,1
B99,16:00,1
B99,17:15,2
B99,18:00,2
D,10:15,1
D,10:45,1
D,12:15,2
D,12:30,1
D,13:00,2
D,14:15,1
D,14:30,2
D,15:00,1
D,15:15,2
D,17:00,1
D,17:15,1
D,17:45,1
D,18:00,1
D,18:15,1
D,20:00,1
P,15:30,1
R,09:30,3
R,09:45,1
R,10:00,2
R,10:15,3
R,10:30,2
R,10:45,5
R,11:00,2
R,11:15,3
R,11:30,4
R,11:45,7
R,12:00,3
R,12:15,15
R,12:30,19
R,12:45,12
R,13:00,13
R,13:15,6
R,14:00,6
R,14:15,5
R,14:30,7
R,14:45,11
R,15:00,10
R,15:15,11
R,15:30,3
R,15:45,5
R,16:00,5
R,16:15,5
R,16:30,9
R,16:45,9
R,17:00,8
R,17:15,6
R,17:30,7
R,17:45,4
R,18:00,4
R,18:15,5
R,18:30,3
R,18:45,1
R,19:00,1
R,19:15,4
R,19:30,2
T,12:15,1
T,17:30,1
