station,time,count
二活,09:30,2
二活,10:00,12
二活,10:15,1
二活,10:30,4
二活,11:00,4
二活,11:15,3
二活,11:30,2
二活,11:45,4
二活,12:00,5
二活,12:15,11
二活,12:30,5
二活,12:45,2
二活,13:00,11
二活,13:15,6
二活,14:00,3
二活,14:15,2
二活,14:30,6
二活,14:45,1
二活,15:00,5
二活,15:15,11
二活,15:30,12
二活,16:15,14
二活,16:30,3
二活,16:45,1
二活,17:00,7
二活,17:15,4
二活,17:30,13
二活,17:45,10
二活,18:00,7
二活,18:15,13
二活,18:30,6
二活,18:45,5
二活,19:00,3
二活,19:15,1
二活,19:30,3
二活,19:45,1
二活,20:00,1
公衛,09:30,2
公衛,10:15,1
公衛,10:45,2
公衛,12:15,5
公衛,12:30,4
公衛,12:45,2
公衛,13:00,5
公衛,13:15,1
公衛,14:30,2
公衛,15:00,2
公衛,15:15,2
公衛,16:30,3
公衛,16:45,1
公衛,17:15,1
公衛,17:30,4
公衛,17:45,2
公衛,18:00,2
公衛,18:15,2
共同,09:30,2
共同,10:00,14
共同,10:15,5
共同,10:30,3
共同,10:45,2
共同,11:00,4
共同,11:15,4
共同,11:30,4
共同,12:00,7
共同,12:15,19
共同,12:30,17
共同,12:45,7
共同,13:00,8
共同,13:15,2
共同,14:00,1
共同,14:15,21
共同,14:30,5
共同,14:45,2
共同,15:00,9
共同,15:15,21
共同,15:30,10
共同,15:45,1
共同,16:00,6
共同,16:15,16
共同,16:30,12
共同,16:45,6
共同,17:00,4
共同,17:15,13
共同,17:30,11
共同,17:45,1
共同,18:00,1
共同,18:15,6
大一女,09:30,1
大一女,09:45,3
大一女,10:00,10
大一女,10:15,10
大一女,10:30,4
大一女,10:45,8
大一女,11:00,5
大一女,11:15,2
大一女,11:30,6
大一女,11:45,7
大一女,12:00,9
大一女,12:15,18
大一女,12:30,19
大一女,12:45,16
大一女,13:00,11
大一女,13:15,11
大一女,14:00,4
大一女,14:15,13
大一女,14:30,10
大一女,14:45,5
大一女,15:00,5
大一女,15:15,17
大一女,15:30,9
大一女,15:45,10
大一女,16:15,3
大一女,16:30,6
大一女,16:45,13
大一女,17:00,4
大一女,17:15,8
大一女,17:30,17
大一女,17:45,15
大一女,18:00,9
大一女,18:15,10
大一女,18:30,2
新生,09:45,3
新生,10:00,21
新生,10:15,2
新生,10:30,2
新生,10:45,1
新生,11:00,2
新生,11:15,2
新生,11:30,3
新生,11:45,1
新生,12:00,13
新生,12:15,20
新生,12:30,13
新生,12:45,10
新生,13:00,6
新生,13:15,3
新生,14:00,2
新生,14:15,5
新生,14:30,6
新生,14:45,1
新生,15:00,3
新生,15:15,23
新生,15:30,4
新生,15:45,1
新生,16:15,3
新生,16:30,6
新生,16:45,1
新生,17:00,2
新生,17:15,10
新生,17:30,7
新生,17:45,2
新生,18:15,4
普通,09:45,11
普通,10:00,15
普通,10:15,8
普通,10:45,1
普通,11:00,9
普通,11:15,15
普通,11:45,2
普通,12:00,19
普通,12:15,26
普通,12:30,9
普通,12:45,11
普通,13:00,11
普通,13:15,9
普通,14:00,6
普通,14:15,14
普通,14:30,7
普通,14:45,13
普通,15:00,11
普通,15:15,24
普通,15:30,17
普通,15:45,5
普通,16:00,2
普通,16:15,7
普通,16:30,10
普通,16:45,2
普通,17:00,2
普通,17:15,9
普通,17:30,14
普通,17:45,10
普通,18:00,7
普通,18:15,7
水源,09:30,1
水源,09:45,1
水源,10:15,1
水源,10:30,6
水源,11:15,2
水源,12:00,3
水源,12:15,2
水源,12:30,1
水源,12:45,3
水源,13:00,4
水源,13:15,4
水源,14:00,4
水源,14:15,8
水源,14:30,1
