station,standing,count
水源校區,B,28
水源校區,G,5
二活,B,62
二活,G,1
共同,B,75
共同,G,7
男一舍,B,123
男一舍,G,1
活大,B,109
活大,G,22
社科院,B,128
社科院,G,19
新生,B,73
新生,G,5
普通,B,131
普通,G,11
大一女,B,102
大一女,G,4
法律學院,B,112
法律學院,G,13
公衛學院,B,16
公衛學院,G,2
醫學院,B,37
醫學院,G,4
