college,standing,count
1,B,124
1,G,8
2,B,63
2,G,13
3,B,268
3,G,31
4,B,68
4,G,2
5,B,62
5,G,6
6,B,73
6,G,3
7,B,96
7,G,1
8,B,9
8,G,3
9,B,49
9,G,9
A,B,180
A,G,14
B,B,4
B,G,4
