station,time,count
二活,10:00,5
二活,10:15,2
二活,10:30,3
二活,11:15,1
二活,11:30,2
二活,12:00,4
二活,12:15,8
二活,12:30,8
二活,12:45,1
二活,13:00,11
二活,13:15,15
二活,13:30,3
二活,13:45,7
二活,14:00,5
二活,14:15,5
二活,14:30,1
二活,15:15,7
二活,15:30,2
二活,15:45,2
二活,16:00,2
二活,16:15,3
二活,16:30,2
二活,16:45,3
二活,17:00,4
二活,17:15,12
二活,17:30,14
二活,17:45,8
公衛,12:00,3
公衛,12:15,3
公衛,12:30,1
公衛,13:45,1
公衛,14:45,1
公衛,15:15,1
公衛,15:45,3
公衛,16:00,2
公衛,16:15,1
公衛,16:45,2
公衛,17:00,1
公衛,17:15,1
共同,10:00,7
共同,10:15,2
共同,10:30,1
共同,10:45,1
共同,11:00,2
共同,11:15,2
共同,11:45,2
共同,12:00,10
共同,12:15,23
共同,12:30,5
共同,12:45,7
共同,13:00,3
共同,13:15,6
共同,13:30,1
共同,13:45,6
共同,14:00,8
共同,14:15,8
共同,14:30,5
共同,14:45,4
共同,15:00,19
共同,15:15,33
共同,15:30,2
共同,16:00,7
共同,16:15,8
共同,16:30,2
共同,16:45,1
共同,17:00,3
共同,17:15,15
共同,17:30,8
共同,17:45,6
大一女,10:00,2
大一女,10:15,3
大一女,11:00,3
大一女,11:15,2
大一女,11:30,4
大一女,11:45,1
大一女,12:00,3
大一女,12:15,8
大一女,12:30,13
大一女,12:45,1
大一女,13:00,8
大一女,13:15,10
大一女,13:30,8
大一女,13:45,6
大一女,14:00,6
大一女,14:15,10
大一女,14:30,4
大一女,14:45,3
大一女,15:00,4
大一女,15:15,10
大一女,15:30,1
大一女,15:45,1
大一女,16:00,1
大一女,16:15,3
大一女,16:30,5
大一女,16:45,2
大一女,17:00,3
大一女,17:15,5
大一女,17:30,10
大一女,17:45,12
新生,10:00,14
新生,10:15,7
新生,10:45,11
新生,11:00,4
新生,11:15,1
新生,11:30,1
新生,12:00,3
新生,12:15,24
新生,12:30,4
新生,12:45,4
新生,13:00,14
新生,13:15,8
新生,13:30,4
新生,13:45,6
新生,14:00,5
新生,14:15,7
新生,14:45,3
新生,15:00,1
新生,15:15,6
新生,15:30,4
新生,15:45,5
新生,16:15,4
新生,16:30,2
新生,16:45,3
新生,17:00,1
新生,17:15,10
新生,17:30,15
新生,17:45,3
普通,10:00,16
普通,10:15,2
