station,time,count
活大,09:00,8
活大,09:30,7
活大,10:00,5
活大,10:30,7
活大,11:00,4
活大,11:30,13
活大,12:00,19
活大,12:30,20
活大,13:00,20
活大,13:30,19
活大,14:00,6
活大,14:30,13
活大,15:00,11
活大,15:30,8
活大,16:00,4
活大,16:30,8
活大,17:00,7
活大,17:30,19
活大,18:00,18
活大,18:30,13
活大,19:00,1
水源校區,09:00,1
水源校區,09:30,3
水源校區,10:00,4
水源校區,10:30,2
水源校區,11:30,10
水源校區,12:00,8
水源校區,12:30,4
水源校區,13:00,12
水源校區,13:30,6
水源校區,14:00,2
水源校區,14:30,1
水源校區,15:00,1
水源校區,15:30,4
水源校區,16:00,2
水源校區,16:30,1
水源校區,17:00,3
水源校區,17:30,2
水源校區,18:00,3
水源校區,18:30,4
新社科院,09:00,7
新社科院,09:30,5
新社科院,10:00,8
新社科院,10:30,2
新社科院,12:00,18
新社科院,12:30,18
新社科院,13:00,28
新社科院,13:30,14
新社科院,14:00,13
新社科院,14:30,9
新社科院,15:00,15
新社科院,15:30,8
新社科院,16:00,13
新社科院,16:30,9
新社科院,17:00,10
新社科院,17:30,9
新社科院,18:00,2
新社科院,18:30,5
共同,09:00,10
共同,09:30,4
共同,10:00,8
共同,10:30,3
共同,11:00,10
共同,11:30,4
共同,12:00,29
共同,12:30,12
共同,13:00,26
共同,13:30,14
共同,14:00,17
共同,14:30,1
共同,15:00,36
共同,15:30,9
共同,16:00,9
共同,16:30,9
共同,17:00,8
共同,17:30,11
共同,18:00,6
共同,18:30,5
二活,09:00,9
二活,09:30,2
二活,10:00,10
二活,10:30,1
二活,11:00,12
二活,11:30,5
二活,12:00,19
二活,12:30,3
二活,13:00,20
二活,13:30,9
二活,14:00,14
二活,14:30,7
二活,15:00,12
二活,15:30,7
二活,16:00,11
二活,16:30,6
二活,17:00,17
二活,17:30,19
二活,18:00,12
二活,18:30,5
醫學院,09:00,3
醫學院,09:30,12
醫學院,10:00,2
醫學院,10:30,2
醫學院,11:00,17
醫學院,11:30,6
醫學院,12:00,13
醫學院,12:30,10
醫學院,13:00,16
醫學院,13:30,5
醫學院,14:00,2
醫學院,14:30,2
醫學院,15:00,5
醫學院,15:30,7
醫學院,16:00,6
醫學院,16:30,3
醫學院,17:00,11
醫學院,17:30,9
醫學院,18:00,1
醫學院,18:30,6
新生,09:00,11
新生,09:30,8
新生,10:00,30
新生,10:30,5
新生,11:00,12
新生,11:30,4
新生,12:00,18
新生,12:30,8
新生,13:00,6
新生,13:30,7
新生,14:00,6
新生,14:30,8
新生,15:00,8
新生,15:30,7
新生,16:00,5
新生,16:30,3
新生,17:00,2
新生,17:30,4
新生,18:00,2
新生,18:30,3
普通,09:00,2
普通,09:30,5
普通,10:00,15
普通,10:30,2
普通,11:00,26
普通,11:30,2
普通,12:00,28
普通,12:30,12
普通,13:00,8
普通,13:30,10
普通,14:00,17
普通,14:30,13
普通,15:00,17
普通,15:30,8
普通,16:00,9
普通,16:30,4
普通,17:00,11
普通,17:30,18
普通,18:00,6
普通,18:30,1
公衛大樓,09:00,3
公衛大樓,09:30,5
公衛大樓,10:00,5
公衛大樓,10:30,1
公衛大樓,11:00,1
公衛大樓,11:30,2
公衛大樓,12:00,6
公衛大樓,12:30,5
公衛大樓,13:30,2
公衛大樓,14:00,1
公衛大樓,14:30,2
公衛大樓,15:00,1
公衛大樓,15:30,2
公衛大樓,16:30,2
公衛大樓,17:00,2
公衛大樓,17:30,1
公衛大樓,18:00,4
男一舍,09:00,6
男一舍,09:30,2
男一舍,10:00,3
男一舍,10:30,4
男一舍,11:00,1
男一舍,11:30,4
男一舍,12:00,15
男一舍,12:30,19
男一舍,13:00,15
男一舍,13:30,17
男一舍,14:00,4
男一舍,14:30,5
男一舍,15:00,7
男一舍,15:30,10
男一舍,16:00,10
男一舍,16:30,9
男一舍,17:00,7
男一舍,17:30,8
男一舍,18:00,14
男一舍,18:30,4
